ab:   abba
ademow:   meadow
ademp:   mapped
adempt:   attempted
ademr:   dreamed, readme, armed, dream
ademrvw:   dreamweaver
ademry:   dreamy
ademt:   teamed, metadata
ademz:   amazed
aden:   dane, dean
adenor:   radeon
adenorv:   andover, endeavor
adenot:   donated, annotated, donate
adenoy:   annoyed
adenp:   append
adenpt:   patented, pendant
adenpx:   expanded, expand
adenr:   arden, darren, andre, andrea, earned
adenrtu:   unrated, redundant
adenrtw:   warranted
adenru:   unread
adenruw:   underwear
adenrw:   wander, warned, andrew
adent:   tanned, dante, attendant, attended, attend
adentuw:   unwanted
adentv:   advent
adentw:   wanted
adenu:   duane
adenv:   nevada
adeoprt:   predator, operated
adeoprv:   approved
adeopt:   adopted
adeotu:   outdated
adeow:   daewoo
adep:   padded
adepr:   raped, draper, parade, appeared, prepared
adeprt:   departed, trapped, depart, repeated, adapter
adeprtu:   departure
adeprw:   wrapped
adept:   tapped, adapted
adeptu:   update, updated
adepty:   datatype, typepad
adepv:   paved
adeq:   qaeda
adeqtu:   adequate
ader:   dread, dare, dear, reader, read
adert:   tread, traded, trader, treated, rated, trade
adertv:   advert
aderuy:   audrey
adervy:   everyday
aderw:   rewarded, drawer, adware, reward, awarded, edward
adery:   ready
adet:   dated, date
adev:   dave
adew:   wade
adfgin:   fading
adfhlnu:   handful
adfhort:   hartford
adfiln:   landfill, finland
adfilnw:   findlaw
adfilor:   florida
adfir:   afraid
adfiry:   friday
adfitv:   affidavit
adfkln:   falkland
adfor:   afford
adforw:   forward
adfrt:   draft
adfru:   darfur, fraud
adfrw:   dwarf
adghiln:   highland, handling
adghin:   gandhi
adghinr:   harding
adgijno:   adjoining
adgiln:   ligand, dialing, landing
adgilno:   diagonal, loading
adgilnr:   darling
adgilo:   dialog
adgilt:   digital
adgilty:   digitally
adgimn:   damaging
adgimpr:   paradigm
adgimr:   diagram
adgin:   adding
adginov:   avoiding
adginp:   padding
adginr:   dragging, daring, grading
adginrt:   trading
adginru:   guardian
adginrw:   drawing
adgint:   dating
adgintu:   auditing
adgl:   glad
adglmno:   goldman
adgln:   gland
adglnr:   garland
adglru:   gradual
adglruy:   gradually
adgly:   gladly
adgmno:   goodman
adgmnr:   grandma
adgmnu:   gundam
adgnopr:   propaganda
adgnor:   dragon
adgnoru:   durango
adgnr:   granada, grand
adgnruv:   vanguard
adgnu:   uganda
adgr:   grad, drag
adgru:   guard
adh:   adhd
adhij:   jihad
adhilnt:   thailand
adhiloy:   holiday
adhinuy:   hyundai
adhio:   hoodia, idaho
adhirtw:   withdraw
adhlmo:   oldham
adhlno:   holland
adhlor:   harold
adhlry:   hardly
adhm:   ahmad
adhmno:   hammond
adhmnwy:   wyndham
adhmru:   durham
adhmu:   muhammad
adhn:   hand
adhno:   honda
adhny:   handy
adhorw:   hardwood, howard
adhr:   hard
adhrt:   darth
adhrv:   harvard
adhrwy:   hayward
adhry:   hardy
adhrz:   hazard
adikmn:   mankind
adikn:   kinda
adil:   laid, dial
adilmn:   midland, mainland
adilmop:   diploma
adilmr:   admiral
adilmrv:   vladimir
adiln:   aladdin, inland, linda
adilnot:   additional
adilnuv:   individual
adilnv:   invalid
adilopr:   polaroid
adilor:   railroad
adilp:   plaid
adilpry:   rapidly
adilpu:   dialup
adilr:   radial
adilrw:   willard
adilrz:   lizard
adilt:   tidal
adiltvy:   validity
adilv:   valid
adily:   lydia, daily
adim:   amid, maid
adimn:   admin
adimno:   diamond, domain
adimnot:   domination, dominant
adimnr:   miranda, mandarin
adimpry:   pyramid
adimr:   mardi, madrid
adimry:   myriad
adimt:   admit
adimwy:   midway
adin:   diana, indiana, indian, india
adinopr:   paranoid
adinopt:   adaptation, adoption
adinort:   ordinator, ordination, tradition, radiation
adinory:   ordinary
adinot:   donation, addition
adinotu:   audition
adinotx:   oxidation
adinpu:   unpaid
adinr:   dinar, adrian, drain
adinrt:   radiant, trinidad
adinrw:   inward, darwin
adinv:   nvidia
adior:   radio
adiort:   radiator
adiortu:   auditor
adiou:   audio
adiouvx:   audiovox
adiov:   avoid
adip:   paid
adipr:   rapid
adir:   arid, raid
adirwz:   wizard
adiry:   dairy, diary
aditu:   audit
adiu:   audi
adiv:   vida, diva, avid, david
adiz:   diaz
adjmor:   majordomo
adjnor:   jordan
adklmnr:   landmark
adklno:   oakland
adklorw:   workload
adknr:   drank
adko:   kodak
adkot:   dakota
adkov:   vodka
adkow:   oakwood
adkr:   dark
adkrw:   awkward
adlmno:   almond
adlmnp:   ampland
adlmnry:   maryland
adlmo:   modal
adlmort:   tramadol
adlmoru:   modular
adlmov:   moldova
adln:   land
adlno:   donald
adlnop:   poland
adlnor:   landlord, roland, ronald, arnold, orlando
adlnot:   dalton
adlnow:   woodland, download
adlnr:   randall
adlnrtu:   rutland
adlnruy:   laundry
adlny:   dylan
adlo:   load
adlopu:   upload
adlopy:   payload
adlor:   dollar
adlou:   aloud
adlp:   ldap
adlpru:   drupal
adltu:   adult
adlu:   dual
adly:   daly, lady
adm:   madam, adam
admn:   amanda, damn
admno:   damon, madonna
admnor:   random
admnory:   raymond
admnoy:   monday
admny:   mandy
admopr:   roadmap
admp:   damp
admr:   dram, armada, ramada, drama
admtu:   datum
admz:   mazda
adn:   dana
adno:   donna
adnopr:   pardon
adnor:   andorra
adnort:   tornado
adnortu:   turnaround
adnoru:   around
adnorw:   downward
adnoty:   daytona, dayton
adnov:   donovan
adnp:   panda
adnr:   darn, rand
adnrw:   rwanda, drawn
adnry:   randy
adnu:   nadu
adnw:   wand, dawn
adny:   danny, andy
adoprt:   adaptor
adoprx:   paradox
adopry:   parody
adopt:   adopt
ador:   dorado, dora, road
adortuw:   outward
adortw:   toward
adorw:   woodward
adorwy:   roadway
adoty:   today
adpr:   prada
adpruw:   upward
adpt:   adapt
adpy:   paddy, payday
adqu:   quad
adr:   addr, radar
adrt:   dart
adrw:   ward, draw, award
adry:   yard
adt:   data
adtv:   vdata
ady:   daddy
aefgilo:   foliage
aefgilr:   fragile
aefgitu:   fatigue
aefgot:   footage
aefhmrt:   aftermath
aefhrt:   hereafter, farther, feather, thereafter, father
aefiklm:   makefile
aefiknr:   frankie
aefilmn:   filename
aefiln:   finale
aefilru:   failure
aefilrw:   firewall
aefilt:   affiliate
aefimnr:   mainframe
aefimr:   firearm
aefimrw:   firmware
aefinr:   refrain
aefinrt:   fainter
aefir:   faire, ferrari, airfare
aefirvw:   fairview
aefk:   fake
aefkmrt:   aftermarket
aefkr:   freak
aefl:   flea, leaf
aeflm:   flame, female
aefln:   fallen
aeflnru:   funeral
aeflort:   teleflora
aeflr:   flare, farrell, rafael, referral
aeflrtw:   waterfall
aeflrw:   farewell, welfare
aeflt:   leaflet, fetal
aeflty:   lafayette
aefm:   fema, fame
aefmnor:   foreman
aefmnr:   freeman
aefmr:   farmer, frame
aefnort:   afternoon
aefnru:   frauen
aefor:   faroe
aefortw:   footwear
aefr:   fare, fear
aefrt:   after
aefrtu:   feature
aefrw:   warfare, freeware
aefrwy:   freeway
aeft:   feat, fate
aefty:   fayette
aefu:   uefa
aefv:   fave
aeg:   gage
aeghiln:   healing
aeghilr:   raleigh
aeghinp:   happening
aeghinr:   hearing
aeghint:   heating
aeghirt:   heritage
aeghlno:   halogen
aeghlr:   gallagher
aeghmop:   homepage
aeghnr:   hanger
aeghrt:   gather
aeghu:   hague
aegikln:   linkage
aegiknw:   awakening
aegil:   agile, illegal
aegilm:   mileage
aegilmt:   legitimate
aegiln:   leaning, lineage, angelina
aegilnp:   appealing
aegilnr:   learning
aegilnt:   genital
aegilnv:   lavigne, leaving
aegilo:   galileo
aegilr:   galerie, algeria
aegilru:   irregular, aguilera
aegilv:   village
aegily:   illegally
aegim:   maggie, image
aegimn:   imagine, meaning
aegimnr:   migraine, remaining
aegimnx:   examining
aegimnz:   magazine
aegimo:   iomega
aegimr:   mirage, marriage
aegimrt:   migrate
aegimry:   imagery
aegimt:   mitigate
aegin:   ageing, angie, engaging
aeginor:   georgian
aeginot:   negotiating, negotiate, negotiation
aeginpr:   repairing, preparing, appearing
aeginr:   regain, nigerian, earring, agreeing, regina, earning, nigeria
aeginrt:   argentine, retaining, targeting, granite, integrating, entertaining, treating, integrate, generating, argentina
aeginrv:   engraving, averaging, vinegar
aeginrw:   wagering, wearing
aegint:   antigen, eating
aegintv:   navigate, negative, vintage
aeginu:   guinea
aeginvw:   weaving
aegior:   georgia
aegip:   paige
aegirtu:   gratuite
aegkl:   leakage
aegknpr:   pagerank
aegl:   algae, gale, eagle, legal
aeglmn:   magellan
aeglmnt:   gentleman
aeglmpy:   gameplay
aeglmtu:   guatemala
aegln:   lange, angela, angle, angel
aeglno:   angelo
aeglnou:   analogue
aeglnoy:   genealogy
aeglnoz:   gonzalez
aeglnr:   enlarge, general
aeglnry:   generally
aeglnt:   elegant
aeglnu:   language
aeglny:   langley
aeglor:   allegro, galore
aeglotv:   voltage
aeglpr:   paralegal
aeglpt:   applegate
aeglpu:   plague
aeglr:   allegra, regal, larger, large
aeglrtu:   regulate
aeglrty:   greatly
aeglru:   regular
aeglruy:   regularly
aeglrv:   gravel, verlag, leverage
aeglry:   allergy, largely, gallery
aeglu:   luggage, league
aegly:   legally
aegm:   mage, mega, game
aegmn:   megan, manage
aegmnr:   german, manager
aegmnrt:   garment, arrangement, agreement
aegmnry:   germany
aegmnt:   magenta, magnet, engagement, management
aegmo:   omega
aegmopr:   programmer, programme
aegmort:   remortgage, mortgage
aegmr:   gamer
aegmrt:   margaret
aegn:   engage
aegnopt:   pentagon
aegnor:   orange
aegnort:   generator
aegnov:   vonage
aegnprt:   pregnant
aegnr:   grange, garner, reagan, ranger, arrange, anger, range
aegnrt:   gartner, teenager, netgear, garnet, generate
aegnrtu:   guarantee
aegnrw:   wagner
aegnt:   gannett, teenage, agent
aegntu:   gauteng
aegntv:   vantage
aegntx:   nextag
aegnv:   vegan, geneva
aegoprt:   portage
aegort:   aggregator
aegorvy:   voyager
aegovy:   voyage
aegp:   page
aegpr:   pager, grape
aegpru:   prague
aegr:   eager, rage, reggae, garage, gear, agree
aegrt:   garrett, aggregate, target, greater, great
aegru:   argue
aegrv:   grave, average
aegt:   gate
aegtwy:   getaway, gateway
aegtz:   gazette
aegu:   gauge
aeguv:   vague
aegv:   vega, gave
aegw:   wage
aegz:   gaze
aehijl:   elijah
aehijmr:   jeremiah
aehilnt:   nathaniel
aehilpr:   peripheral
aehilrt:   healthier
aehilvy:   heavily
aehilw:   awhile
aehimn:   anaheim
aehint:   hentai
aehiopt:   ethiopia
aehipr:   happier
aehirt:   harriet
aehirtw:   whitewater
aehirv:   heavier
aehklnt:   kathleen
aehl:   leah, hale, heal
aehlmr:   harlem
aehlmrt:   thermal
aehlmt:   hamlet
aehln:   helena
aehlnot:   ethanol
aehlnow:   halloween
aehlnpt:   elephant
aehlnvy:   heavenly
aehlpr:   raphael
aehlrt:   ethereal, leather
aehlrty:   hartley
aehlry:   harley
aehlt:   lethal, athlete, health
aehltw:   wealth
aehltwy:   wealthy
aehlty:   healthy
aehlw:   whale
aehlz:   hazel
aehmnop:   phenomena
aehmnr:   herman
aehmnt:   methane, anthem
aehmnu:   humane
aehmr:   hammer
aehmtw:   matthew
aehmy:   mayhem
aehnort:   another
aehnorv:   hannover, hanover
aehnotw:   wheaton
aehnp:   happen
aehnprt:   panther
aehnrt:   tehran, threaten
aehnrwy:   anywhere
aehnt:   athena, ethan
aehnv:   haven, heaven
aehortw:   heathrow
aehot:   tahoe
aehp:   heap
aehpr:   harper
aehprty:   therapy
aehr:   hare, hear
aehrt:   heater, heather, threat, theater, theatre, earth, rather, heart
aehrtvw:   whatever
aehrtw:   weather
aehrvy:   harvey
aeht:   theta, heath, hate, heat
aehtu:   haute
aehtw:   wheat
aehv:   have
aehvy:   heavy
aehy:   yeah
aehz:   haze
aeijm:   jamie
aeijnor:   janeiro
aeikl:   alike
aeiklmu:   leukemia
aeikln:   alkaline
aeiknru:   ukraine
aeiknt:   intake
aeikt:   katie
aeilm:   amelia, email
aeilmn:   melanie
aeilmnr:   mineral
aeilmnt:   laminate, eliminate
aeilmor:   memorial
aeilmpr:   imperial
aeilmr:   mailer
aeilmrt:   realtime, material
aeilmtu:   ultimate
aeiln:   elaine, alien
aeilnor:   lorraine, nonlinear
aeilnot:   intentional
aeilnp:   pineapple, alpine
aeilnpr:   perennial, airplane
aeilnpu:   pauline
aeilnpx:   explain
aeilnr:   airline, linear
aeilnrt:   internal
aeilnrw:   alienware
aeilnt:   natalie
aeilntu:   lieutenant
aeilntv:   valentine
aeilntz:   initialize
aeilort:   territorial
aeilotv:   volatile, violate
aeilprv:   prevail
aeilr:   ariel, aerial, earlier
aeilrt:   arterial, literal, retailer, trailer, retail
aeilrtu:   literature
aeilrtv:   retrieval, levitra, relative
aeilrty:   artillery, literally, literary, reality
aeilru:   laurie
aeilrv:   valerie, revival
aeilrz:   realize
aeiltv:   alleviate
aeilv:   alive
aeilz:   eliza
aeimn:   anemia, maine, anime
aeimnot:   nominate
aeimnr:   marianne, mariner, armenian, armenia, remain, marine
aeimnrt:   maintainer, terminate, entertainment
aeimnrx:   examiner
aeimnt:   inmate, attainment, meantime, intimate
aeimntv:   vietnam
aeimnty:   anytime
aeimnx:   examine
aeimotv:   motivate
aeimprv:   vampire
aeimr:   merriam, marie
aeimrt:   marietta, maritime
aeimxz:   maximize
aeimz:   maize
aein:   annie
aeinort:   iteration, anterior, orientation
aeinot:   attention
aeinotv:   innovative
aeinprt:   painter
aeinpt:   pantie, inpatient, patient
aeinqtu:   antique
aeinrt:   nitrate, trainee, entertain, intranet, terrain, retain, trainer
aeinrtv:   narrative
aeinrty:   itinerary
aeint:   initiate
aeintv:   venetian, tentative, initiative, native
aeintxy:   anxiety
aeinv:   naive, vienna
aeiopr:   peoria
aeioprt:   pretoria, appropriate
aeipr:   prairie, repair
aeiprt:   pirate
aeiprtv:   private
aeipt:   taipei, appetite
aeiptuv:   putative
aeirt:   eritrea
aeirtvy:   variety
aeirty:   tertiary
aeirv:   rivera, riviera, arrive
aeirvw:   waiver
aeirvx:   xavier
aeirz:   zaire
aeitv:   vitae
aeivw:   waive
aejk:   jake
aejn:   jeanne, jenna, jane, jean
aejno:   joanne
aejnt:   janet
aekl:   leak, lake
aeklmrx:   lexmark
aekln:   ankle
aeklotu:   tokelau
aekloy:   oakley
aeklr:   kerala
aeklrw:   walker
aekm:   make
aekmorv:   makeover
aekmpu:   makeup
aekmr:   remake, kramer, remark, marker, maker
aekmrt:   market
aekn:   kane
aeknor:   roanoke, korean
aeknr:   karen
aeknrw:   newark
aeknt:   taken
aekny:   kanye, yankee, kenya
aekoprw:   paperwork
aekopt:   topeka
aekor:   karaoke, korea
aekortv:   takeover
aekp:   peak
aekpr:   parker
aekptu:   uptake
aekqu:   quake
aekr:   rake
aekrt:   karate
aekru:   eureka
aekrw:   weaker
aekt:   teak, kate, take
aektw:   tweak
aekw:   awake, weak, wake
ael:   ella, alle
aelm:   lame, lemma, meal, male
aelmn:   enamel
aelmno:   melanoma, malone
aelmnop:   palmone
aelmnrt:   maternal
aelmnt:   elemental, mantle, mental
aelmnty:   mentally
aelmnu:   emmanuel, manuel
aelmny:   namely
aelmor:   morale
aelmorv:   removal
aelmp:   ample, pamela, maple
aelmpr:   palmer
aelmpt:   template
aelmpx:   example
aelmr:   realm
aelmrv:   marvel
aelmrw:   malware
aelmry:   marley
aelmt:   metal
aelmwx:   maxwell
aeln:   lena, elena, neal, lean, allen, lane
aelno:   alone
aelnop:   napoleon
aelnopt:   appleton
aelnor:   eleanor
aelnort:   tolerant
aelnot:   neonatal
aelnp:   nepal, plane, panel
aelnpr:   planner
aelnprt:   prenatal, parental
aelnpry:   plenary
aelnpt:   appellant, planet
aelnpty:   penalty
aelnr:   learner, renal, learn
aelnrt:   learnt, lantern, eternal, alternate, rental
aelnrtu:   laurent, renault, neutral
aelnrtv:   relevant
aelnrtx:   external
aelnru:   unreal, neural, lauren
aelnrw:   renewal
aelnry:   nearly
aelnryz:   analyzer
aelnt:   latent, talent
aelntuv:   eventual
aelnuvz:   venezuela
aelnyz:   analyze
aelo:   aloe
aelopr:   parole
aeloprv:   overlap
aelort:   tolerate, realtor
aelortv:   elevator
aelortw:   waterloo
aelorv:   overall
aelorvy:   overlay
aelory:   royale
aelp:   plea, leap, pale, appeal, apple
aelpqu:   plaque
aelpr:   repeal, parallel, pearl, apparel
aelprtu:   perpetual
aelprw:   wallpaper
aelpry:   replay, player
aelpt:   pallet, palette, appellate, applet, plate
aelptu:   plateau
aelqu:   equal
aelquy:   equally
aelr:   earl, real
aelrt:   lateral, alter, relate, latter, alert, later
aelrtv:   traveller, traveler, travel
aelrtw:   walter
aelrty:   realty
aelru:   laurel
aelrv:   larvae, reveal
aelrwy:   lawyer
aelrx:   lexar, relax
aelry:   yearly, rarely, relay, layer, early, really
aelt:   teal, tale, late
aeltuv:   evaluate
aeltux:   textual
aeltv:   valet
aeltw:   wallet
aeltx:   latex
aelty:   lately
aeluv:   value
aelv:   vale, eval, valve, leave
aelvy:   valley
aelx:   axel, axle, alexa, alex
aely:   alley, yale
aem:   emma
aemn:   amen, mean, name
aemnort:   ornament
aemnory:   anymore
aemnprt:   permanent, apartment
aemnptv:   pavement
aemnpty:   payment
aemnr:   rename, manner
aemnrt:   treatment
aemnru:   manure, maureen
aemnt:   meant
aemnv:   maven
aemnw:   newman
aemny:   mayen
aemort:   roommate
aemot:   mateo
aemotu:   automate
aemoty:   mayotte
aemprt:   parameter
aemprtu:   premature, temperature
aempt:   attempt
aemqrtu:   marquette
aemr:   amer, mare
aemrt:   matter
aemrtu:   amatuer, amature, amateur, mature
aemrw:   warmer
aemry:   mayer
aemt:   matte, mate, meta, meat, team
aemx:   amex, exam
aemz:   maze
aen:   anne
aenopr:   propane
aenopru:   european
aenopw:   weapon
aenortw:   watertown
aenorty:   attorney
aenorv:   verona
aenot:   eaton, annotate
aenouv:   nouveau
aenoy:   anyone
aenp:   pane
aenprt:   pantera, apparent, pattern, parent, partner
aenpt:   patent
aenptu:   peanut
aenptx:   pentax
aenpy:   payne
aenr:   arena, earn, near
aenrt:   tanner
aenrtu:   nature
aenrtuv:   ventura
aenrtv:   tavern, veteran
aenrtw:   netware
aenruw:   unaware
aenrv:   raven
aenrw:   warner, warren
aent:   annette, ante, nate, eaten, neat, tenant, antenna
aentw:   tawnee
aenuv:   avenue
aenv:   evan
aenwy:   wayne
aenx:   annex
aeny:   enya
aeopqu:   opaque
aeopr:   opera
aeoprt:   operate, operator
aeoprty:   preparatory
aeopru:   europa
aeoprv:   approve
aeor:   aero
aeort:   rotate
aeortuw:   outerwear
aepr:   reap, pear, prepare, appear, rape, paper
aeprt:   repeat
aeprtu:   aperture
aeprtxy:   taxpayer
aeprw:   wrapper
aepry:   repay, prayer
aept:   tape
aeptx:   expat
aepx:   apex
aeqrtu:   quartet, quarter
aer:   rear, rare, area
aert:   eater, arte, terra, tear, retreat, treat, rate
aertuy:   atreyu
aertw:   water
aertx:   extra
aerty:   artery, treaty
aerv:   rave, vera
aervw:   weaver
aervy:   avery
aerw:   ware, aware, wear
aerwy:   weary, eyewear
aerwz:   warez
aery:   year
aerz:   ezra
aet:   tate
aetz:   zeta
aevw:   weave, wave
afghn:   afghan
afgilmn:   flaming
afgiln:   failing, falling
afgimnr:   framing, farming
afginrt:   rafting
afgirt:   graffiti
afgl:   flag
afglnow:   wolfgang
afglnu:   fungal
afgnort:   grafton
afgor:   fargo
afhiltu:   faithful
afhilx:   halifax
afhit:   faith
afhl:   half
afhlmru:   harmful
afhlwy:   halfway
afhmno:   hoffman
afhrw:   wharf
afi:   fifa
afiklnr:   franklin
afil:   fail
afilmr:   familiar
afilmtu:   tamiflu
afilmy:   family
afiln:   final
afilnot:   affiliation, inflation
afilnpt:   plaintiff
afilnpu:   painful
afilnr:   rainfall
afilny:   finally
afiloz:   zoofilia
afilquy:   qualify
afilr:   flair
afilry:   fairly
afim:   mafia
afimr:   affirm
afino:   fiona
afinotu:   fountain
afinrty:   infantry
afinru:   unfair
afint:   faint, infant
afinty:   affinity, tiffany
afio:   foia
afir:   affair, fair
afirt:   tariff
afirx:   fairfax
afiry:   fairy
afit:   fiat
afklnry:   frankly
afkmnu:   kaufman
afknr:   frank
afknrtu:   frankfurt
afkrt:   kraft
afl:   alfa, fall
aflmor:   formal
aflmoru:   formula
aflmory:   formally
aflnort:   frontal
aflnuw:   unlawful
aflopy:   playoff
aflor:   flora, floral
afloruv:   flavour
aflorv:   flavor
aflot:   float
aflp:   flap
aflpuy:   playful
aflt:   fatal, flat
afltu:   fault
afltuy:   faulty
afluw:   lawful, awful
aflw:   flaw
afmo:   foam
afmor:   forma
afmort:   format
afmpru:   parfum
afmr:   farm
afnort:   fortran
afnr:   fran
afnrz:   franz
afntu:   futuna
afnu:   fauna
afor:   afro
aforuv:   favour
aforv:   favor
afq:   faqfaq
afrt:   arafat
afru:   frau
afty:   fatty
afux:   faux
aghilnu:   laughing
aghilrt:   alright
aghin:   hanging
aghinru:   hungarian
aghinty:   anything
aghinv:   having
aghiwy:   highway
aghlotu:   although
aghlu:   laugh
aghmnoy:   mahogany
aghmr:   graham
aghn:   ghana, hang
aghno:   hogan
aghnruy:   hungary
aghntuy:   naughty
aghnu:   huang
aghnuv:   vaughn, vaughan
aghnz:   zhang
aghoprt:   photograph
aghpr:   graph, paragraph
aghrt:   garth
aghtu:   taught
agiklnt:   talking
agiklnw:   walking
agikmn:   making
agikmnr:   marking
agiknpr:   parking
agiknr:   ranking
agiknt:   taking
agiknw:   waking
agikny:   kayaking
agil:   gail
agilm:   gmail
agilmn:   mailing
agilmno:   magnolia, mongolia
agilmnr:   marginal
agilmnt:   malignant
agiln:   align
agilnor:   original
agilnot:   totaling, litigation
agilnow:   allowing
agilnp:   planning
agilnpt:   planting
agilnpy:   applying, playing
agilnrt:   trailing
agilnru:   inaugural
agilnu:   anguilla
agilnv:   vaginal
agilny:   laying
agilnyz:   analyzing
agilnz:   glazing
agilor:   gorilla, gloria
agilorz:   gorillaz
agilty:   agility
agim:   amiga
agimn:   aiming, manning, naming, imaging, managing, gaming
agimnor:   roaming
agimnot:   mitigation, imagination
agimnp:   mapping
agimnr:   ingram, garmin, margin
agimnrt:   migrating, migrant, immigrant
agimnrw:   warming
agimnry:   imaginary
agimnt:   mating, maintaining
agimnxz:   maximizing
agimnz:   amazing
agin:   gina, gaining, aging, gain, again
aginopt:   patagonia
aginort:   originator, originating, ignorant, rotating, irrigation
aginorz:   organizing
aginotv:   navigation
aginov:   giovanni
aginoy:   annoying
aginp:   paging, pagina
aginprw:   wrapping
aginpry:   praying
aginpt:   tapping, painting
aginpv:   paving
aginpy:   paying
aginr:   raging, arranging, niagara, ranging, grain
aginrt:   granting, training, rating
aginru:   arguing
aginrv:   arriving, virginia
aginrvy:   varying
aginrw:   warning
aginrz:   grazing
agint:   initiating, tagging, tanning, giant
agintu:   antigua
agintw:   awaiting, wanting, waiting
aginu:   guiana
aginv:   gavin, vagina
aginw:   wigan
agir:   agri
agirtu:   gratuit, guitar
agirtvy:   gravity
agirv:   viagra
agjnor:   jargon
agjru:   jaguar
agknor:   kangaroo
agl:   gala
aglm:   malaga
aglmoru:   glamour
agln:   lang
aglno:   lagoon, anglo, gallon, logan, angola, analog, along
aglnoy:   analogy
aglnru:   angular
aglnu:   laguna
aglo:   goal
aglopy:   apology
aglor:   largo
aglowy:   galloway
aglwy:   galway
aglxy:   galaxy
agm:   gamma
agmn:   magna, manga
agmno:   mango, among
agmnor:   monogram, morgan
agmnu:   magnum
agmopr:   program
agmr:   gram, grammar
agmu:   guam
agn:   gang
agno:   gonna
agnopr:   paragon
agnor:   organ
agnot:   tango, tonga
agnow:   wagon
agnp:   pagan
agnr:   rang, gran
agnrt:   grant
agnry:   granny, angry
agnt:   tang
agnuy:   guyana
agnw:   wang
agny:   yang
agot:   goat, gotta
agoy:   yoga
agpruy:   paraguay
agptu:   gupta
agruy:   uruguay
agrv:   argv
agry:   gary, gray
agz:   gaza
ah:   haha
ahil:   hail
ahilmot:   hotmail
ahilnot:   inhalation
ahilntu:   lithuanian, lithuania
ahilopz:   zoophilia
ahilpy:   happily
ahilry:   hillary, hilary
ahily:   aaliyah
ahimntw:   whitman
ahimr:   mariah
ahino:   hanoi
ahinr:   rihanna
ahint:   haitian
ahinw:   hawaiian
ahip:   hipaa
ahir:   hair
ahiry:   hairy
ahit:   tahiti, haiti, thai
ahiw:   hawaii
ahjno:   johan, jonah, johann
ahjnot:   jonathan
ahklmo:   oklahoma
ahklmr:   hallmark
ahkn:   hank, khan
ahknrty:   kathryn
ahknt:   thank
ahkty:   kathy
ahkw:   hawk
ahl:   allah, hall
ahlmopy:   lymphoma
ahlmtw:   waltham
ahlno:   lohan
ahlnot:   athlon
ahlo:   aloha, halo
ahlowy:   holloway
ahlp:   alpha
ahlpr:   ralph
ahlt:   halt
ahlu:   haul
ahluvx:   vauxhall
ahm:   hama
ahmnopt:   phantom, hampton
ahmnort:   marathon
ahmnory:   harmony
ahmnr:   harman
ahmnt:   manhattan
ahmnu:   human
ahmo:   omaha
ahmot:   mammoth
ahmpr:   pharma
ahmr:   harm
ahmrt:   martha
ahmrtw:   warmth
ahmt:   math
ahmy:   yamaha
ahn:   hahn, hanna, hannah
ahno:   noah
ahnopr:   orphan
ahnory:   honorary
ahnoty:   anthony
ahnpuy:   unhappy
ahnrtx:   anthrax
ahnt:   nathan, than
ahntx:   thanx
ahnv:   havana
ahopr:   oprah
ahort:   torah, throat
ahortu:   author
ahot:   oath
ahou:   oahu
ahoy:   yahoo
ahpr:   harp
ahpt:   phat, path
ahptwy:   pathway
ahpy:   happy
ahrt:   hart
ahrtu:   arthur
ahrtw:   wrath
ahry:   harry
aht:   hath, that
ahtu:   auth, utah
ahtw:   what
ahty:   hyatt
aijl:   jail
aijlnu:   julian
aijlu:   julia
aijmnru:   marijuana
aijn:   ninja
aijnoqu:   joaquin
aijr:   jira
aikmru:   murakami
aikmy:   yakima
aikn:   akin
aikno:   nokia
aiknrt:   katrina
aiknru:   ukrainian
aiktuw:   kuwait
aiku:   kauai
ailm:   liam, lima, mali, mail
ailmn:   mammalian, manila, mailman, milan, minimal, animal
ailmno:   milano, nominal
ailmnot:   minolta, limitation
ailmnpt:   implant
ailmnr:   marlin
ailmnry:   marilyn
ailmnu:   aluminium, aluminum, alumni
ailmny:   mainly
ailmopt:   optimal
ailmopy:   olympia
ailmor:   amarillo
ailmort:   immortal
ailmot:   mailto
ailmoz:   mozilla
ailmprt:   impartial
ailmpry:   primarily
ailmr:   airmail, malaria
ailmrt:   marital, martial
ailmrty:   military
ailmt:   militia, tamil
ailmtu:   ultima
ailmuv:   valium
ailmw:   malawi, william
ailmx:   maximal
ailn:   lillian, alain, nail
ailnopt:   plantation, optional
ailnopv:   pavilion
ailnort:   rational
ailnot:   tional, italiano, latino, national
ailnotv:   invitational, violation
ailnoty:   nationality, nationally
ailnotz:   initialization
ailnp:   plain
ailnt:   latina, latin, italian, initial
ailntv:   latvian
ailnty:   initially
ailnv:   alvin, vanilla
ailort:   tailor
ailortu:   tutorial
ailot:   alito, lolita
ailotvy:   volatility
ailov:   viola, olivia
ailpr:   pillar, april
ailprt:   partial
ailprty:   partially
ailpx:   paxil
ailqtuy:   quality
ailr:   lira, liar, arial, rail
ailrt:   trail, trial
ailrtu:   ritual
ailrtuv:   virtual
ailrtv:   trivial
ailruxy:   auxiliary
ailrv:   avril, rival, viral, arrival
ailrwy:   railway
ailt:   italia, tail
ailtv:   latvia, vital
ailtvy:   vitality
ailty:   italy
ailv:   vail, avail, villa
ailx:   axial
aim:   miami
aimn:   mania, main
