abcdefk:   feedback
efhlopu:   hopeful
efilopr:   profileprofile, profile
efilrty:   fertility
efilrtz:   fertilizer
efimnrt:   refinement
efinort:   frontier
efinrtu:   furniture
efirtux:   fixture
eflmory:   formerly
eflorvw:   overflow
efmnort:   fremont
efnortu:   fourteen, fortune
efnqrtu:   frequent
eghilnp:   helping
eghilrt:   lighter
eghiltw:   lightweight
eghintw:   weighting
eghlnty:   lengthy
eghlory:   gloryhole
eghloty:   theology
egijknr:   jerking
egijnoy:   enjoying
egiknrt:   trekking
egilmnt:   melting
egilmor:   gilmore
egilnor:   religion
egilnov:   evolving
egilnrt:   lettering
egilnrv:   greenville
egilnry:   relying
egilnuy:   genuinely
egiloty:   etiology
egilprv:   privilege
egimnot:   mentioning
egimnpt:   pigment
egimnrt:   metering, regiment
eginopr:   pioneering
eginort:   nitrogen, ringtone
eginorv:   governing
eginprt:   interpreting
eginqru:   requiring
eginrtu:   returning
eginrtv:   retrieving
eginrty:   integrity
eginrvw:   reviewing
egmnort:   montenegro
egmortu:   gourmet
egmorty:   geometry
egnortw:   georgetown
egnoruy:   younger
ehilnot:   hotline
ehinopx:   phoenix
ehintwy:   whitney
ehiortw:   hotwire
ehkmorw:   homework
ehlnopt:   telephone
ehmnorw:   homeowner
ehmnotw:   hometown
ehmpruy:   humphrey
ehnopty:   phenotype
ehprtxy:   hypertext
eijlnuv:   juvenile
eijnpru:   juniper
eijprtu:   jupiter
eiklnot:   tolkien
eiklnuy:   unlikely
eilmnpt:   implement
eilmptu:   multiple
eilnotu:   outline
eilnotv:   violent
eilnquy:   uniquely
eilnrty:   entirely
eiloprv:   liverpool
eiloptx:   exploit
eilqtuy:   quietly
eimnotz:   timezone
eimnptu:   pentium
eimnrtu:   runtime
eimoprt:   importer
eimopru:   emporium
eimoprv:   improve
eimoptz:   optimize
eimortv:   overtime
eimprtv:   primitive
eimrtux:   mixture
eimrtvy:   everytime
einoprt:   interpro, repetition, petitioner, pointer, protein
einortu:   routine
einortv:   inventor, intervention
einorvz:   verizon
einprtu:   interrupt
einprtv:   preventive
einqruy:   enquiry
einrtvw:   interview
ejmnoty:   enjoyment
ejnoruy:   journey
eknortw:   network
elmnort:   enrolment, enrollment
elmopry:   polymer, employer
elmorty:   remotely
elmrtxy:   extremely
elnotvy:   novelty
eloprty:   prolyte
emnortv:   vermont
emnorty:   monterey
enoprtw:   newport
enoprty:   entropy
enortuv:   turnover
eoprtvy:   poverty
fghlotu:   thoughtful
fgilnor:   flooring
fgilnow:   flowing, following
fgimnor:   informing, forming
filoprt:   portfolio
fimnoru:   uniform
finoprt:   footprint, nonprofit
ghilnty:   nightly
ghilrty:   rightly
ghinotu:   huntington
ghinrtu:   hurting
ghiortu:   outright
ghiprtu:   upright
ghlmoty:   mythology
ghloruy:   roughly
ghoprtu:   throughput
ghortuw:   wrought
gijmnpu:   jumping
giknorw:   working
gilnopt:   plotting
gilnorw:   rowling
gilnqtu:   quilting
gilntuz:   utilizing
gilorty:   trilogy
gimnort:   motoring, monitoring
gimnoru:   mourning
gimnotu:   mounting
gimnotv:   vomiting
gimnowy:   wyoming
ginopru:   pouring, grouping
ginoprv:   proving
ginoqtu:   quoting
ginortu:   tutoring, touring, routing
ginorwy:   worrying
gkopruw:   workgroup
hiloprw:   whirlpool
himprtu:   triumph
hlmnoty:   monthly
ijlnoty:   jointly
ilmptuy:   multiply
ilnoptu:   pollution
imnoprt:   promotion
imnorty:   minority
lmoprty:   promptly
loprtuy:   poultry
