abcdefk:   feedback
acginot:   containing, contagion, contacting, cogitation, cogitating, coating
acginou:   announcing
acginox:   coaxing
acginoz:   canonizing
acginpr:   prancing, crapping, carping
acginpt:   incapacitating, catnapping, captaining, anticipating
acginpu:   uncapping
acginrt:   tracing, incarnating, crating, carting, attracting
acginru:   uncaring, nicaraguan, nicaragua, accruing
acginrv:   craving, carving
acginry:   carrying
acginrz:   crazing
acgintu:   actuating
acgintv:   vaccinating, vacating, inactivating, activating
acglmou:   glaucoma
acglnor:   clangor
acglnot:   octagonal
acgnrvy:   vagrancy
achijnt:   jacinth
achilmt:   thalamic
achilnp:   chaplin, chaplain, appalachian
achilnr:   anarchical
achilot:   catholic
achilpt:   aliphatic
achilrv:   chivalric, archival
achilry:   charily
achilty:   chattily
achimno:   mohican
achimnr:   chairman
achimrt:   matriarch
achinpu:   capuchin
achinrt:   trichina
achinty:   hyacinth, cynthia
achiort:   thoracic, haricot, chariot
achiprt:   patriarch
achirtu:   haircut, autarchic
achirty:   charity
achkorw:   hackwork, coachwork
achlmry:   lachrymal
achlnot:   nonchalant
achlnoy:   halcyon
achlnrt:   charlatan
achlntu:   unlatch
achlopt:   potlatch, catchpoll
achmnor:   monarch, anchorman
achmnoy:   monomachy
achmnru:   churchman
achmntw:   watchman
achmopr:   camphor
achmort:   trachoma, chartroom
achmotu:   outmatch
achmpry:   pharmacy
achnopy:   cacophony
achnovy:   anchovy
achnpuy:   paunchy
achnruy:   raunchy
achopry:   apocrypha
achortu:   cutthroat, coauthor
achptuz:   chutzpah
achrtuy:   autarchy
acijlmo:   majolica
acijnop:   japonica
acijnot:   jactitation
aciklor:   airlock
aciklot:   cocktail
acikmnw:   mackinaw
aciknor:   koranic
aciknot:   antiknock
aciknpy:   panicky
acikprt:   patrick
acikrtu:   autarkic
acilmno:   monomaniacal
acilmnr:   criminal
acilmnt:   claimant, anticlimactic
acilmny:   maniacally, inimically
acilmop:   accompli
acilmot:   committal
acilmoy:   comically
acilmty:   climactically, calamity
acilnor:   ironical, clarion, carolinian, carolina, carillon
acilnot:   location, lactation, inclination, cottontail, conciliation, collocation, collation, coalition, catalonian, catalonia, allocation
acilnov:   volcanic, convivial
acilnoy:   laconically, canonically
acilnpr:   principal
acilnpt:   applicant
acilnpy:   pliancy
acilnru:   ranunculi
acilnrv:   carnival
acilnry:   ancillary
acilntu:   nautical, lunatic
acilnty:   analyticity, analytically, analytical, analytic
acilnuy:   uncannily
acilnvy:   valiancy
acilopr:   coprolalia
acilopt:   topical, political, optical, occipital, capitol, apolitical
aciloqu:   colloquial, colloquia
acilort:   oratorical, cortical, clitoral
acilotv:   voltaic
acilotx:   toxical
aciloty:   locality
acilprt:   practical, piratical, participial, clipart
acilpry:   capillary
acilptu:   capitula
acilpty:   typically, typicality, typical, atypically, atypical
acilqtu:   acquittal
acilquz:   quizzical
acilrtu:   curtail, actuarial
acilrty:   critically, criticality, clarity, alacrity
acilruy:   crucially, circularly
acilryz:   crazily
aciltuv:   victual
aciltuy:   actuality
aciltvy:   acclivity
acimnop:   companion
acimnor:   minorcan, minorca, macaroni, carcinoma
acimnot:   monatomic, contamination, contaminant, concomitant, anatomic, amniotic
acimnou:   canonicum
acimnru:   cranium
acimntu:   actinium
acimnty:   intimacy
acimort:   aromatic
acimotu:   automatic
acimotx:   axiomatic
acimpry:   primacy
acimrtu:   traumatic
acimtuv:   viaticum
acinopr:   paranoiac, capricorn
acinopt:   optician, incapacitation, caption, captation, capitation, anticipation
acinopu:   cappuccino
acinoqu:   coquina
acinort:   traction, ratiocinator, ratiocination, raincoat, narcotic, incarnation, croatian, coronation, contrario, contraction, carnation, attraction
acinotu:   continuation, continua, caution, auction, annunciation, actuation
acinotv:   vocation, vaccination, vacation, invocation, inactivation, convocation, avocation, activation
acinotx:   toxicant, intoxication, intoxicant
acinoty:   cyanotic
acinotz:   canonization
acinprt:   patrician, participant
acinpty:   incapacity, captaincy
acinqtu:   acquaint
acinrtu:   taciturn, curtain
acinrty:   intricacy, intracity
acinruy:   inaccuracy
acintvy:   inactivity
acioprt:   patriotic, participator, capacitor, apricot
acioptu:   autoptic
aciopty:   opacity
acioptz:   pizzicato
aciortu:   autocratic
aciortv:   victoria, activator
aciorty:   atrocity
aciprty:   rapacity
aciprvy:   privacy
aciptuy:   paucity
aciptvy:   captivity
acirtux:   curatrix
acituvy:   vacuity
acjklow:   lockjaw
acjkopt:   jackpot
acjloru:   jocular
acjmnor:   majorcan
acklmor:   cloakroom
acklorw:   warlock
ackmopr:   pockmark
acknory:   conakry
ackoprt:   crackpot
aclmnou:   communal
aclmnpu:   campanula
aclmnuy:   calumny
aclmory:   cyclorama
aclnopr:   coplanar
aclnort:   contralto, colorant
aclnoty:   clayton
aclnptu:   punctual
aclnruv:   avuncular
aclntvy:   vacantly
aclopru:   copular
aclortu:   coloratura, calculator, allocatur
aclrtuy:   culturally, cartulary
acmnopr:   crampon
acmnopy:   company, accompany
acmnort:   monocrat, cormorant, commorant
acmnory:   monocracy, acronym
acmnotu:   catamount
acmnpry:   rampancy
acmoprt:   compactor
acnoptu:   occupant
acnopuy:   occupancy
acnortu:   turncoat, courant
acnorty:   contrary
acnotuy:   accountancy
acnrtuy:   truancy
acoprtu:   procurator
acopruy:   procuracy
acortuy:   autocracy
adefgin:   deafening
adefgln:   flanged, fangled
adefglo:   foldage
adefglt:   flagellated
adefgor:   foraged
adefgrt:   grafted
adefguw:   guffawed
adefhlt:   flathead
adefhno:   offhanded
adefhnr:   freehand
adefhor:   forehead
adefhrt:   feathered, fathered
adefhrw:   wharfed
adefilr:   airfield
adefilt:   filiated, affiliated
adefimn:   damnified
adefimr:   reaffirmed, ramified, affirmed
adefinr:   refrained, infrared
adefint:   fainted, defiant
adefirt:   ratified
adefitx:   fixated
adefkln:   flanked
adefknr:   franked
adeflmn:   enflamed
adeflnt:   flattened
adeflor:   freeloader, freeloaded, freeload
adeflot:   floated
adeflrt:   flattered, faltered
adeflru:   dreadful
adeflry:   federally, defrayal
adeflrz:   frazzled
adefltu:   faulted, defaulted, default
adefluy:   feudally
adefmnr:   freedman
adefmor:   forearmed
adefntu:   undefeated
adefnuz:   unfazed
adeforv:   favored
adeforw:   forwarder, forwarded
adefory:   forayed, feodary
adefotu:   fadeout
adefrtu:   featured
adefrtw:   afterward
adefruy:   feudary
adeghin:   highhanded, heading, deadheading
adeghip:   pigheaded
adeghln:   danelagh
adeghlu:   laughed
adeghpr:   paragraphed, graphed
adeghrt:   gathered
adegikn:   kneading
adegiln:   leading, gladdening, dealing, aligned
adegilp:   pillaged
adegilt:   litigated
adegilz:   legalized
adegimn:   maddening, imagined, demeaning, demanding, amending, adeeming
adegimr:   diagrammed
adegimt:   mitigated
adeginp:   appending
adeginr:   rereading, regarding, regained, reading, ingrained, grenadine, grenadier, grained, gardening, gardenia, gardein, endearing, endangering, dreading, deranging, deraign, degrading, arraigned
adegint:   ideating, detaining, attending, antedating
adeginv:   evading
adegirt:   irrigated
adegiru:   gaudier
adegirv:   aggrieved
adegitv:   divagated, divagate
adegjln:   jangled
adegjly:   jaggedly
adeglmn:   mangled
adeglmt:   amalgamated
adeglnr:   greenland, gnarled, garlanded, enlarged, englander
adeglnt:   tangled, entangled, danegelt
adeglnw:   wangled
adeglop:   galloped
adeglot:   gloated
adeglpr:   grappled
adeglpu:   plagued
adeglrt:   relegated
adeglrv:   leveraged, graveled, everglade
adeglry:   raggedly
adegmno:   goddamned
adegmnr:   gendarme
adegmnu:   unmanaged, undamaged, agendum
adegmou:   demagogue
adegmoy:   demagogy
adegmpr:   rampaged
adegmru:   rummaged, demurrage
adegnor:   orangeade, groaned, dragooned, androgen
adegnot:   tangoed
adegnpr:   prearranged
adegnpu:   unpaged
adegnrt:   regranted, regenerated, regardant, granted, generated, dragnet, degenerated, degenerate
adegnru:   unguarded, ungraded, undergrade, grandeur, dungaree
adegnrv:   engraved
adegntv:   advantaged, advantage
adegntw:   twanged
adegopu:   pedagogue
adegopy:   pedagogy
adegort:   retrograded, retrograde, garroted, derogated, derogate, arrogated
adegorw:   dowager
adegory:   goodyear
adegovy:   voyaged
adegpru:   upgraded, upgrade
adegrtu:   graduated, graduate
adegrtv:   aggravated
adegrtx:   exaggerated
adegrty:   tragedy, gyrated, gadgetry
adegrvy:   graveyard
adehiln:   inhaled, headlined, headline
adehilp:   philadelphia
adehilr:   railhead, dihedral
adehily:   headily
adehimn:   maidenhead, handmaiden
adehinp:   pinhead
adehinr:   handier
adehinw:   headwind
adehirw:   rawhide, hardwired
adehiwy:   hideaway
adehklu:   keelhauled
adehknr:   hearkened, hankered
adehknt:   thanked
adehlmn:   manhandled, manhandle
adehlmp:   headlamp
adehlmu:   muddleheaded
adehlnp:   panhandled, panhandle
adehlnr:   handler
adehlnu:   unhealed
adehlot:   loathed
adehlow:   hallowed
adehlrt:   tetrahedral, letterhead, leathered, lathered, haltered
adehlrx:   hexahedral
adehlry:   heraldry
adehlty:   heatedly, deathly
adehmno:   mohammedan
adehmny:   handymen
adehmor:   headroom
adehmoy:   dahomey
adehmpr:   hampered
adehmru:   drumhead
adehnop:   headphone
adehnot:   headnote
adehnpr:   apprehended, apprehend
adehnrt:   threatened, heartened, adherent
adehnru:   unheard, underhanded, underhand, dunderhead
adehnrv:   verandah
adehntu:   unheated, headhunted, headhunt, haunted
adehopx:   hexapod
adehort:   throated, dorothea
adehorv:   overheard, overhead
adehorw:   headword, harrowed, arrowhead
adehory:   hoorayed
adehprt:   preheated
adehrtw:   wreathed, weathered, thwarted, headwater, earthward, deathward
adehrty:   hydrated, hydrate, dehydrated, dehydrate
adeijmr:   jeremiad
adeijno:   adjoined
adeijnr:   jardiniere
adeikly:   ladylike
adeiklz:   alkalized
adeiknp:   kidnapped
adeilmn:   middleman, mainlined
adeilmp:   impleaded, impaled
adeilmr:   remedial, daimler
adeilmt:   militated
adeilmv:   medieval, mediaeval
adeilmy:   medially
adeilno:   dandelion, adenoidal
adeilnr:   ireland, adrenaline
adeilnt:   tideland, initialed, entailed, dilettanti, dilettante, delineated, delineate, datelined, dateline, alienated
adeilnu:   aliunde
adeilnv:   invalided
adeilnx:   dixieland
adeilny:   inlayed
adeilop:   oedipal
adeilor:   railroader, railroaded
adeilot:   etiolated
adeilpr:   reapplied, predial, praedial, pillared, parallelepiped
adeilpt:   plaited, palpitated, palliated, dilapidated, dilapidate, depilated, depilate
adeilqu:   quailed
adeilrt:   trailed, retaliated, retailed, alliterated
adeilrv:   rivaled
adeilry:   readily, drearily
adeilrz:   realized
adeiltu:   latitude, altitude
adeiltv:   validated, validate, levitated, alleviated
adeiluv:   vaudeville
adeilyz:   dialyzed, dialyze
adeimnr:   remained, remainder, meridian, marinade, dramamine, amerindian
adeimnt:   maintained, intimidated, intimidate, intimated, detainment, dementia, animated, adamantine
adeimnx:   examined
adeimor:   airdrome
adeimot:   diatomite
adeimpr:   impaired
adeimpz:   diazepam
adeimrt:   readmitted, readmit, diameter
adeimry:   midyear
adeimtv:   meditative
adeimty:   daytime
adeimxz:   maximized
adeinor:   ordainer, ordained, idoneare, aneroid
adeinot:   iodinate, indentation, ideation, detonation, denotation, antidote, anointed
adeinov:   devonian
adeinoz:   anodized, anodize
adeinpt:   painted
adeinpx:   appendix
adeinrt:   trained, retrained, retained, nitrated, entrained, entertained, detrained, detrain, detainer, denariate, daintier, attainder
adeinrv:   invader
adeinrw:   edwardian, dinnerware
adeintu:   untainted, uninitiated, unaudited, unattained, inundated, inundate
adeintv:   deviant
adeiopr:   parodied
adeiort:   deteriorated, deteriorate
adeiprt:   repatriated, pirated, partied
adeiptu:   aptitude
adeiptv:   adaptive
adeiptx:   expiated, expatiated
adeiqru:   quarried
adeirtv:   derivative
adeirtw:   tidewater, tawdrier
adeirtx:   extradited, extradite
adeirty:   dietary
adeituv:   viduitate
adeitvw:   viewdata
adejmor:   majored
adejntu:   jaunted
adeklnp:   planked
adeklnr:   rankled
adeklny:   nakedly
adeklop:   polkaed
adekmnr:   mandrake, denmark
adekmrt:   trademark, marketed
adeknpw:   knapweed
adeknrw:   reawakened
adekotw:   teakwood
adelmno:   lemonade
adelmnr:   mandrel, dreamland, aldermen, alderman
adelmnt:   mantled, lamented
adelmor:   melodrama, earldom
adelmpt:   maladapted
adelmrt:   trammeled, maltreated
adelmru:   medullar
adelmrv:   marveled
adelmtu:   umlauted, emulated
adelnop:   planeload
adelnor:   oleander, leonardo, leonard
adelnou:   unloaded, duodenal
adelnow:   downloaded
adelnpr:   laplander
adelnpt:   planted
adelnpu:   unplanned
adelnqu:   unequaled
adelnrt:   antlered, alternated
adelnru:   unlearned, unlaundered, laundered, launder
adelnrv:   lavender, landreeve
adelnrx:   alexandra, alexander
adelnry:   learnedly, aldernay
adelnrz:   zealander
adelntu:   untalented, undulated, undulate
adelntw:   wetland
adelnuv:   unvalued, unleavened
adelnyz:   analyzed
adelopr:   paroled, leopard
adelopt:   tadpole
adelopu:   uploaded
adelopw:   walloped
adelort:   tolerated, realloted, leotard, delator
adeloru:   roulade, eurodollar
adelorv:   overloaded, overload
adelprt:   prattled, paltered
adelprv:   palavered
adelprw:   wallpapered
adelpry:   replayed, preparedly, parleyed, parlayed, dapperly
adelpty:   adeptly
adelqru:   quarreled
adelrtu:   adulterer, adulterated, adulterate
adelrtv:   traveled
adelrtw:   trawled
adelrtx:   dextral
adelruv:   revalued
adeltuv:   vaulted, valuated, evaluated, devaluated, devaluate
adeltwz:   waltzed
ademnor:   memoranda, marooned, enamored, demeanor, andromeda
ademnot:   nematode
ademnow:   madwomen
ademnpu:   unmapped
ademnrt:   endearment
ademnru:   unmarred, unmannered, undreamed, undermanned, underarm, unarmed, maundered, maunder
ademnry:   yardmen
ademntu:   untamed, unmated
ademort:   rotterdam, mortared, moderator, moderato, moderated, moderate
ademorv:   overarmed
ademory:   dromedary
ademotu:   automated
ademprt:   tramped, tampered, permeated
ademprv:   revamped
ademptu:   amputated
ademrtu:   matured, maturated
ademrty:   martyred
adenopr:   pardoner, pardoned, operand
adenopt:   notepad
adenort:   detonator, deodorant, attorned
adenoru:   unadorned
adenorv:   endeavored, endeavor, andover
adenorw:   narrowed
adenprt:   trepanned, penetrated, patterned, partnered, parented, entrapped
adenpru:   unprepared, undraped
adenprw:   enwrapped
adenprx:   expander
adenptu:   untapped, unpatented
adenpuv:   unpaved
adenrtu:   untreated, undertenant, underrated, underrate, redundant, natured, durante, denatured, denature, denaturant
adenrtv:   verdant, venerated, enervated
adenrtw:   warranted
adenruw:   underwear, underdrawn, unawarded
adenruy:   unready
adentuv:   vaunted, eventuated
adentuw:   unwanted
adentux:   untaxed, unextenuated, extenuated
adeoprt:   teardrop, readopted, readopt, prorated, predator, perorated, parroted, operated, adopter
adeoprv:   approved
adeortv:   overtraded, overtrade, overrated
adeorvw:   overdraw, overawed
adepqru:   quadruped
adeprtu:   perpetuated, depurated, depurate, departure
adeqrtu:   quartered, quadrate
adeqruv:   quavered
adfginy:   dandifying
adfhlnu:   handful
adfhort:   hartford
adfilnw:   windfall
adfilor:   florida
adfimny:   damnify
adfinru:   unafraid, furandi
adflmnr:   farmland
adflnow:   downfall
adfloru:   foulard
adflorw:   waldorf
adflowy:   foldaway
adghiln:   highland, handling
adghilo:   hidalgo
adghilu:   guildhall
adghinu:   unhanding
adghior:   highroad
adghipr:   digraph
adghitw:   tightwad
adghlno:   longhand
adghlry:   haggardly
adghrtu:   draught
adgijno:   adjoining
adgijnu:   adjudging
adgiknp:   kidnapping
adgilmr:   madrigal, grimaldi
adgilno:   loading, diagonal
adgilnp:   paddling, dappling
adgilnr:   larding, garlanding, draggling, darling
adgilnt:   dilating
adgilnu:   lauding, languid, alluding
adgilnv:   invaliding
adgilnw:   waddling, dawdling
adgilny:   dallying
adgilnz:   dazzling
adgilty:   digitally
adgiluy:   gaudily
adgimnp:   damping
adgimnr:   admiring
adgimnt:   mandating, intimidating, admitting
adgimnx:   admixing
adgimor:   radiogram
adgimpr:   paradigm
adginor:   radioing, ordaining, dragooning, adorning, adoring
adginot:   indignation, donating
adginov:   avoiding
adginoz:   anodizing
adginpr:   parading, draping
adginpt:   adapting
adginrt:   trading, radiating, irradiating, gradating, darting
adginru:   guarding, guardian
adginrw:   warding, drawing, awarding
adginrz:   aggrandizing
adgintu:   inundating, daunting, auditing
adgintv:   divagating, advantaging
adgjlru:   guadalajara
adglnru:   glandular
adglnry:   grandly
adglory:   gaylord
adglruy:   gradually
adgnopr:   propaganda
adgnoru:   aground
adgnory:   organdy, androgyny
adgnruv:   vanguard
adhilnr:   handrail
adhilnt:   thailand
adhilnv:   havilland
adhilny:   handily
adhilop:   haploid
adhiloy:   holiday
adhinop:   ophidian
adhinor:   rhodian
adhinot:   nationhood
adhinpu:   dauphin
adhinuy:   hyundai
adhirtw:   withdraw
adhlotu:   adulthood
adhmnow:   womanhood
adhnoru:   honduran
adhnotu:   handout
adhnrty:   hydrant
adhoprt:   hardtop, arthropod
adijnor:   jordanian
adilmno:   mandolin
adilmnr:   mandrill
adilmnt:   dalmatian
adilmnu:   maudlin
adilmop:   diploma
adilmor:   armadillo
adilmov:   moldavia
adilmpu:   palladium
adilnor:   radiolarian, ordinal, doornail
adilnot:   dilation, dilatation, additional
adilnpr:   lapidarian
adilnru:   diurnal
adilntu:   latitudinal, attitudinal
adilntw:   tailwind
adilnty:   daintily
adilnuv:   individual
adilopr:   polaroid
adilort:   dilator
adilpry:   rapidly, lapidary
adilptu:   plaudit
adilpvy:   vapidly
adilrty:   tardily
adiltuy:   duality
adiltvy:   validity
adimnor:   radioman, mondriaan
adimnot:   intimidation, domination, dominant, damnation, admonition
adimnrt:   tamarind
adimnry:   dairyman
adimnuv:   vanadium
adimpry:   pyramid
adinopr:   raindrop, poniard, paranoid
adinopt:   adoption, adaptation
adinort:   tradition, tandoori, radiation, ordination, irradiation, adoration
adinory:   ordinary
adinotu:   inundation, audition
adinotv:   divination
adinotx:   oxidation, oxidant, antioxidant
adioprt:   parotid
adiortu:   auditor
adiprty:   rapidity
adiptvy:   vapidity
adirwyz:   wizardry
adjnoru:   adjourn
adklmnr:   landmark
adklnpr:   parkland
adklorw:   workload
adklrwy:   awkwardly
adkmntu:   katmandu
adkorwy:   workday, workaday
adlmnor:   moorland
adlmnry:   maryland
adlmnty:   adamantly
adlmoru:   modular
adlnoru:   nodular
adlnotu:   outland
adlnruy:   laundry
adlortu:   adulator
admnoqu:   quondam
admnort:   mordant, dormant
admnory:   raymond, normandy
admnrty:   mandatary
admopru:   pompadour
admorty:   martyrdom
adnopwy:   pandowdy
adnoqru:   quadroon
adnortu:   turnaround, rotunda
adnorty:   drayton, donatory
adnqrtu:   quadrant
adnqruy:   quandary
adortuw:   outward
aefgiln:   leafing, finagle
aefgilo:   foliage
aefgilr:   fragile
aefginr:   refraining, fearing, affeering
aefgint:   fattening
aefgior:   fairgoer
aefgirt:   refrigerate, frigate
aefgitu:   fatigue
aefglmu:   flagellum
aefglno:   longleaf
aefglnt:   flagellant
aefglop:   flagpole
aefglot:   flotage, flageolet
aefglow:   flowage
aefgnrt:   engraft
aefgort:   footgear
aefgorv:   forgave
aefhint:   antitheft
aefhlrt:   heartfelt
aefhltu:   healthful, hateful
aefhmrt:   aftermath
aefhort:   forefather
aefhrtw:   whereafter
aefhrty:   feathery
aefiklr:   flakier
aefikmn:   knifeman
aefiknr:   afrikaner
aefilmn:   inflame, filename
aefilnr:   infernal
aefilnt:   inflate, infantile
aefilnz:   finalize
aefilot:   foliate, fellatio
aefilrt:   filtrate, afterlife
aefilru:   failure
aefilrw:   firewall
aefiltu:   fauteuil
aefiluv:   effluvial, effluvia
aefimnr:   mainframe, fireman
aefimnt:   effeminate
aefimor:   foamier
aefimrw:   firmware
aefinot:   fenatio
aefinrt:   fainter
aefintu:   infatuate
aefiprt:   firetrap, aperitif
aefiqru:   aquifer
aefitvx:   fixative
aefkluw:   wakeful
aeflmor:   femoral
aeflnot:   fontanel
aeflnrt:   fraternal
aeflnru:   funereal, funeral
aeflntu:   flatulent, affluent
aeflopw:   peafowl
aeflort:   floater
aeflorv:   overleaf
aeflorw:   wallflower
aeflpry:   palfrey, flypaper
aeflptu:   plateful
aeflrtu:   tearful, aflutter
aeflrtw:   waterfall, flatware
aeflrty:   flattery
aeflrux:   flexural
aeflruy:   fearfully
aefltuy:   fatefully
aefmnor:   forename, foreman, foramen
aefmnry:   ferryman
aefmort:   reformat, formatter
aefnopr:   profane
aefnort:   afternoon
aefnorw:   forewarn
aefnruy:   funerary
aefoprt:   perforator, perforate, forepart
aefoprw:   forepaw
aefortw:   footwear
aeghiln:   healing
aeghilr:   raleigh
aeghinp:   heaping, happening
aeghinr:   rehearing, hearing
aeghint:   heating
aeghinv:   heaving
aeghinw:   heehawing
aeghipr:   epigraph
aeghirt:   heritage
aeghlno:   halogen
aeghlor:   logorrhea
aeghlru:   laugher
aeghmor:   homager, hemorrhage
aeghmpr:   grapheme
aeghmrx:   hexagram
aeghnor:   gonorrhea
aeghnox:   hexagon
aeghnru:   haranguer, harangue
aeghopr:   geographer
aeghort:   theatergoer
aeghoru:   roughage
aegikln:   linkage, leaking
aegiknp:   peaking
aegiknw:   weakening, wakening, awakening
aegikrw:   gawkier
aegilmn:   liegeman, gleaming, enameling
aegilmt:   legitimate, illegitimate
aegilnp:   pealing, paneling, leaping, lagniappe, enplaning, appealing
aegilnr:   regaling, realleging, realigning, realign, learning, ganglier, enlarging, algerian
aegilnt:   tangential, inelegant, genitalia, genital, gelatin, galantine, entangling, entailing, elating, eglantine, alienating, alginate
aegilnu:   leaguing
aegilnv:   leaving, leavening
aegilny:   genially, engagingly
aegilnz:   legalizing
aegilpr:   pillager, paraplegia, papergirl
aegilrt:   aglitter
aegilru:   irregular, guerrilla
aegilrv:   villager
aegilrz:   glazier
aegilty:   legality, illegality
aegimnr:   renaming, remaining, rearming, reaming, migraine, menagerie, margarine, mangier
aegimnt:   teaming, mintage, magnetite, geminating, geminate, emanating
aegimnu:   unmeaning
aegimnx:   examining
aegimnz:   magazine
aegimor:   maggiore
aegimpr:   primage, epigram
aegimpt:   pegmatite
aegimrt:   ragtime, migrate, immigrate, emigrate
aegimry:   imagery
aeginor:   nonagenarian, ignorare, gregorian, georgian
aeginot:   negotiation, negotiating, negotiate, negation
aeginoz:   agonize
aeginpr:   repairing, reappearing, reaping, preparing, prearranging, papering, appearing
aeginpt:   patenting, paginate
aeginrt:   treating, tearing, tattering, targeting, tangier, tangerine, retreating, retraining, retaining, reiterating, reintegrating, reintegrate, regranting, regenerating, rattening, nattering, iterating, integrating, integrate, integrant, integra, ingratiate, ingrate, granite, girante, generating, entreating, entraining, entertaining, argentite, argentinian, argentinean, argentine, argentina, aggregating, aerating
aeginru:   rearguing
aeginrv:   vinegar, ravening, engraving, averring, averaging, aggrieving
aeginrw:   wearing, wagnerian, wagering
aeginry:   yearning, gainery
aegintu:   attenuating
aegintv:   vintage, vegetating, negative, navigate
aegintz:   gazetting
aeginvw:   weaving
aegiopr:   arpeggio
aegipqu:   equipage
aegirtu:   regurgitate
aegirtv:   virgate, variegate, gravitate
aegkmpr:   gamekeeper
aegkprt:   gatekeeper
aeglmnt:   gentleman, entanglement
aeglmnv:   gavelmen, gavelman
aeglmpu:   plumage
aeglmrt:   telegram
aeglmry:   meagerly
aeglmtu:   guatemala, glutamate
aeglnor:   organelle, algernon
aeglnot:   tangelo, elongate
aeglnou:   analogue
aeglnoy:   genealogy
aeglnpr:   grapnel
aeglnpt:   plangent, pentangle, eggplant
aeglnru:   granule
aeglnrw:   wrangler, wrangle
aeglnry:   laryngeal, generally
aeglntu:   untangle, ungulate, gauntlet
aeglnty:   elegantly
aeglnuw:   gunwale
aeglopr:   pergola
aeglort:   legator, gloater
aeglorv:   overlarge
aeglory:   gargoyle, allegory
aeglotv:   voltage
aeglpru:   earplug
aeglrtu:   regulate
aeglrtx:   extralegal
aeglrty:   legatary, greatly, aggregately
aeglruy:   regularly
aeglrvy:   gravely
aegltuv:   vulgate
aegluvy:   vaguely
aegmnor:   orangemen, orangeman
aegmnot:   montage, megaton, magneto
aegmnrt:   termagant, rearrangement, garment, arrangement, agreement
aegmnrv:   gravamen
aegmnry:   germany
aegmntu:   augment
aegmopr:   reprogram, programmer
aegmort:   mortgagee, mortgage
aegmoxy:   exogamy
aegmrtu:   ageratum
aegnopt:   pentagon
aegnort:   regenerator, generator
aegnory:   orangery
aegnprt:   pregnant, parentage
aegnrtu:   unregenerate, guarantee, gaunter
aegnruv:   auvergne
aegoprt:   reportage, propagate, porterage, portage
aegortu:   outrage
aegortx:   exaggerator
aegorvy:   voyager
aegorvz:   overgraze
aehijmr:   jeremiah
aehilnr:   inhaler, hairline
aehilnt:   nathaniel, annihilate
aehilny:   hyaline
aehilpr:   peripheral, perihelia, harelip
aehilpt:   epithelial
aehilrt:   triathlete, healthier
aehiltw:   whitewall, whitehall
aehilty:   lethality, hyalite, healthily
aehilvy:   heavily
aehimnu:   inhumane
aehimpr:   ephraim
aehinpr:   heparin
aehinpy:   epiphany
aehinpz:   zephaniah
aehiopt:   ethiopia
aehiort:   throatier
aehirwy:   haywire
aehklnt:   kathleen
aehkmor:   homemaker
aehlmno:   manhole
aehlmny:   hymeneal
aehlmor:   armhole
aehlmpr:   ephemeral
aehlmpt:   pamphlet, helpmate
aehlmrt:   thermal
aehlnop:   allophone
aehlnot:   ethanol
aehlnow:   halloween
aehlnpt:   naphthalene, elephant
aehlnrt:   enthrall
aehlnvy:   heavenly
aehlopr:   phalarope
aehlorw:   hollowware
aehlpty:   telepathy
aehlpuv:   upheaval
aehlrty:   tetraethyl, leathery, lathery, ethereally, earthly
aehltwy:   wealthy
aehmnop:   phenomena
aehmnor:   menorah, amenorrhoea
aehmntu:   athenaeum
aehmopr:   amphorae
aehmopt:   homeopath, apothem
aehmprt:   heptameter
aehmpty:   empathy
aehmrtx:   hexameter
aehnopr:   harpooner, earphone
aehnopt:   phaeton, pantheon
aehnort:   another
aehnorv:   hanover
aehnoty:   hootenanny
aehnprt:   panther
aehnpty:   hyphenate
aehnrtu:   urethane, unearth
aehnrtw:   earthenware
aehnrtx:   narthex
aehnrtz:   nazareth
aehnrwy:   anywhere
aehopry:   pyorrhea
aehortv:   overheat
aehprty:   therapy
aehrtvw:   whatever
aeijlnv:   javelin
aeijnor:   janeiro
aeiklmn:   manlike
aeiklmu:   leukemia
aeiklnr:   lankier
aeiklnz:   alkalinize
aeiklrw:   warlike
aeikltv:   talkative
aeiklvw:   wavelike
aeikmnr:   ramekin
aeiknrt:   keratin
aeiknru:   ukraine
aeikrty:   teriyaki
aeilmnp:   maniple, impanel
aeilmnr:   mineral, millenarian, marline, manlier
aeilmnt:   militiamen, lineament, laminate, entailment, eliminate, alimenta, aliment, ailment
aeilmny:   menially
aeilmor:   memorial, immemorial
aeilmot:   immolate
aeilmpr:   imperial
aeilmqu:   aliquem
aeilmrt:   remittal, militare, materiel, material, immaterial, altimeter
aeilmtu:   ultimate, mutilate, multimate
aeilmtw:   willamette
aeilmtz:   lemmatize
aeilnor:   alienor, aileron
aeilnot:   toenail, intentional, elation, alienation
aeilnpr:   praline, plainer, perennial, airplane
aeilnpt:   penitential, palatine, palatinate
aeilnpx:   explain
aeilnpz:   penalize
aeilnqu:   aquiline
aeilnrt:   triennial, retinal, reliant, ratline, latrine, interrelate, internal, interlinear, inertial
aeilnrv:   valerian
aeilnry:   linearly
aeilntu:   lieutenant, aleutian
aeilntv:   ventilate, valentine
aeilnty:   innately
aeilntz:   tantalize, initialize
aeilnuv:   univalve
aeilnuz:   annualize
aeilnvy:   venially, naively
aeilort:   territorial, retaliator, arteriole
aeilotv:   volatile, violate
aeilotz:   totalize
aeilpqu:   applique
